	x	MATLAB_y	Verilog_y	|MATLAB-x|	|Verilog-x|	|Verilog-MATLAB|
0.0234375000	0.0721223530	-0.2626953125	0.0486848530	0.2861328125	0.3348176655
-0.1181640625	0.0785970974	-0.2763671875	0.1967611599	0.1582031250	0.3549642849
-0.1494140625	0.0850284917	-0.2900390625	0.2344425542	0.1406250000	0.3750675542
-0.0664062500	0.0912015101	-0.3017578125	0.1576077601	0.2353515625	0.3929593226
-0.0849609375	0.0969053734	-0.3125000000	0.1818663109	0.2275390625	0.4094053734
-0.0712890625	0.1019405599	-0.3222656250	0.1732296224	0.2509765625	0.4242061849
-0.0380859375	0.1061252668	-0.3310546875	0.1442112043	0.2929687500	0.4371799543
-0.0146484375	0.1093009843	-0.3388671875	0.1239494218	0.3242187500	0.4481681718
-0.0683593750	0.1113369517	-0.3466796875	0.1796963267	0.2783203125	0.4580166392
-0.0683593750	0.1121333784	-0.3525390625	0.1804927534	0.2841796875	0.4646724409
-0.0185546875	0.1116234227	-0.3583984375	0.1301781102	0.3398437500	0.4700218602
0.0078125000	0.1097739919	-0.3623046875	0.1019614919	0.3701171875	0.4720786794
0.0087890625	0.1065854751	-0.3671875000	0.0977964126	0.3759765625	0.4737729751
-0.0263671875	0.1020905424	-0.3701171875	0.1284577299	0.3437500000	0.4722077299
-0.0136718750	0.0963521691	-0.3730468750	0.1100240441	0.3593750000	0.4693990441
-0.0361328125	0.0894610470	-0.3720703125	0.1255938595	0.3359375000	0.4615313595
-0.0205078125	0.0815325360	-0.3681640625	0.1020403485	0.3476562500	0.4496965985
0.0019531250	0.0727032777	-0.3623046875	0.0707501527	0.3642578125	0.4350079652
-0.0117187500	0.0631275580	-0.3544921875	0.0748463080	0.3427734375	0.4176197455
-0.0527343750	0.0529734780	-0.3466796875	0.1057078530	0.2939453125	0.3996531655
-0.0517578125	0.0424189857	-0.3388671875	0.0941767982	0.2871093750	0.3812861732
-0.0136718750	0.0316478134	-0.3310546875	0.0453196884	0.3173828125	0.3627025009
-0.0683593750	0.0208453682	-0.3251953125	0.0892047432	0.2568359375	0.3460406807
-0.2597656250	0.0101946174	-0.3212890625	0.2699602424	0.0615234375	0.3314836799
-0.2529296875	-0.0001279882	-0.3212890625	0.2528016993	0.0683593750	0.3211610743
-0.2304687500	-0.0099565221	-0.3232421875	0.2205122279	0.0927734375	0.3132856654
-0.1298828125	-0.0191395167	-0.3261718750	0.1107432958	0.1962890625	0.3070323583
