Time: 505000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110011 | Din(Decimal): 1642 | Average(Decimal): 1651
Time: 515000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110011 | Din(Decimal): 1642 | Average(Decimal): 1651
Time: 525000 | Din(Binary): 0000011001101101 | Average(Binary): 0000011001110011 | Din(Decimal): 1645 | Average(Decimal): 1651
Time: 535000 | Din(Binary): 0000011001101101 | Average(Binary): 0000011001110011 | Din(Decimal): 1645 | Average(Decimal): 1651
Time: 545000 | Din(Binary): 0000011001101101 | Average(Binary): 0000011001110011 | Din(Decimal): 1645 | Average(Decimal): 1651
Time: 555000 | Din(Binary): 0000011001110001 | Average(Binary): 0000011001110011 | Din(Decimal): 1649 | Average(Decimal): 1651
Time: 565000 | Din(Binary): 0000011001110001 | Average(Binary): 0000011001110010 | Din(Decimal): 1649 | Average(Decimal): 1650
Time: 575000 | Din(Binary): 0000011001110001 | Average(Binary): 0000011001110010 | Din(Decimal): 1649 | Average(Decimal): 1650
Time: 585000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110010 | Din(Decimal): 1651 | Average(Decimal): 1650
Time: 595000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110010 | Din(Decimal): 1651 | Average(Decimal): 1650
Time: 605000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110010 | Din(Decimal): 1651 | Average(Decimal): 1650
Time: 615000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110010 | Din(Decimal): 1652 | Average(Decimal): 1650
Time: 625000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110001 | Din(Decimal): 1652 | Average(Decimal): 1649
Time: 635000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110001 | Din(Decimal): 1652 | Average(Decimal): 1649
Time: 645000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110001 | Din(Decimal): 1651 | Average(Decimal): 1649
Time: 655000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110000 | Din(Decimal): 1651 | Average(Decimal): 1648
Time: 665000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110000 | Din(Decimal): 1651 | Average(Decimal): 1648
Time: 675000 | Din(Binary): 0000011001111000 | Average(Binary): 0000011001110000 | Din(Decimal): 1656 | Average(Decimal): 1648
Time: 685000 | Din(Binary): 0000011001111000 | Average(Binary): 0000011001110000 | Din(Decimal): 1656 | Average(Decimal): 1648
Time: 695000 | Din(Binary): 0000011001111000 | Average(Binary): 0000011001110000 | Din(Decimal): 1656 | Average(Decimal): 1648
Time: 705000 | Din(Binary): 0000011001110111 | Average(Binary): 0000011001110000 | Din(Decimal): 1655 | Average(Decimal): 1648
Time: 715000 | Din(Binary): 0000011001110111 | Average(Binary): 0000011001101111 | Din(Decimal): 1655 | Average(Decimal): 1647
Time: 725000 | Din(Binary): 0000011001110111 | Average(Binary): 0000011001101111 | Din(Decimal): 1655 | Average(Decimal): 1647
Time: 735000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001101111 | Din(Decimal): 1642 | Average(Decimal): 1647
Time: 745000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110000 | Din(Decimal): 1642 | Average(Decimal): 1648
Time: 755000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110000 | Din(Decimal): 1642 | Average(Decimal): 1648
Time: 765000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110000 | Din(Decimal): 1642 | Average(Decimal): 1648
Time: 775000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110010 | Din(Decimal): 1642 | Average(Decimal): 1650
Time: 785000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110010 | Din(Decimal): 1642 | Average(Decimal): 1650
Time: 795000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110010 | Din(Decimal): 1641 | Average(Decimal): 1650
Time: 805000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110010 | Din(Decimal): 1641 | Average(Decimal): 1650
Time: 815000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110010 | Din(Decimal): 1641 | Average(Decimal): 1650
Time: 825000 | Din(Binary): 0000011001101111 | Average(Binary): 0000011001110010 | Din(Decimal): 1647 | Average(Decimal): 1650
Time: 835000 | Din(Binary): 0000011001101111 | Average(Binary): 0000011001110001 | Din(Decimal): 1647 | Average(Decimal): 1649
Time: 845000 | Din(Binary): 0000011001101111 | Average(Binary): 0000011001110001 | Din(Decimal): 1647 | Average(Decimal): 1649
Time: 855000 | Din(Binary): 0000011001110000 | Average(Binary): 0000011001110001 | Din(Decimal): 1648 | Average(Decimal): 1649
Time: 865000 | Din(Binary): 0000011001110000 | Average(Binary): 0000011001110000 | Din(Decimal): 1648 | Average(Decimal): 1648
Time: 875000 | Din(Binary): 0000011001110000 | Average(Binary): 0000011001110000 | Din(Decimal): 1648 | Average(Decimal): 1648
Time: 885000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110000 | Din(Decimal): 1652 | Average(Decimal): 1648
Time: 895000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110000 | Din(Decimal): 1652 | Average(Decimal): 1648
Time: 905000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110000 | Din(Decimal): 1652 | Average(Decimal): 1648
Time: 915000 | Din(Binary): 0000011001110101 | Average(Binary): 0000011001110000 | Din(Decimal): 1653 | Average(Decimal): 1648
Time: 925000 | Din(Binary): 0000011001110101 | Average(Binary): 0000011001101111 | Din(Decimal): 1653 | Average(Decimal): 1647
Time: 935000 | Din(Binary): 0000011001110101 | Average(Binary): 0000011001101111 | Din(Decimal): 1653 | Average(Decimal): 1647
Time: 945000 | Din(Binary): 0000011001110111 | Average(Binary): 0000011001101111 | Din(Decimal): 1655 | Average(Decimal): 1647
Time: 955000 | Din(Binary): 0000011001110111 | Average(Binary): 0000011001101111 | Din(Decimal): 1655 | Average(Decimal): 1647
Time: 965000 | Din(Binary): 0000011001110111 | Average(Binary): 0000011001101111 | Din(Decimal): 1655 | Average(Decimal): 1647
Time: 975000 | Din(Binary): 0000011001111001 | Average(Binary): 0000011001101111 | Din(Decimal): 1657 | Average(Decimal): 1647
Time: 985000 | Din(Binary): 0000011001111001 | Average(Binary): 0000011001101111 | Din(Decimal): 1657 | Average(Decimal): 1647
Time: 995000 | Din(Binary): 0000011001111001 | Average(Binary): 0000011001101111 | Din(Decimal): 1657 | Average(Decimal): 1647
Time: 1005000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001101111 | Din(Decimal): 1651 | Average(Decimal): 1647
Time: 1015000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001101111 | Din(Decimal): 1651 | Average(Decimal): 1647
Time: 1025000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001101111 | Din(Decimal): 1651 | Average(Decimal): 1647
Time: 1035000 | Din(Binary): 0000011001101000 | Average(Binary): 0000011001101111 | Din(Decimal): 1640 | Average(Decimal): 1647
Time: 1045000 | Din(Binary): 0000011001101000 | Average(Binary): 0000011001110001 | Din(Decimal): 1640 | Average(Decimal): 1649
Time: 1055000 | Din(Binary): 0000011001101000 | Average(Binary): 0000011001110001 | Din(Decimal): 1640 | Average(Decimal): 1649
Time: 1065000 | Din(Binary): 0000011001100111 | Average(Binary): 0000011001110001 | Din(Decimal): 1639 | Average(Decimal): 1649
Time: 1075000 | Din(Binary): 0000011001100111 | Average(Binary): 0000011001110010 | Din(Decimal): 1639 | Average(Decimal): 1650
Time: 1085000 | Din(Binary): 0000011001100111 | Average(Binary): 0000011001110010 | Din(Decimal): 1639 | Average(Decimal): 1650
Time: 1095000 | Din(Binary): 0000011001100110 | Average(Binary): 0000011001110010 | Din(Decimal): 1638 | Average(Decimal): 1650
Time: 1105000 | Din(Binary): 0000011001100110 | Average(Binary): 0000011001110010 | Din(Decimal): 1638 | Average(Decimal): 1650
Time: 1115000 | Din(Binary): 0000011001100110 | Average(Binary): 0000011001110010 | Din(Decimal): 1638 | Average(Decimal): 1650
Time: 1125000 | Din(Binary): 0000011001101110 | Average(Binary): 0000011001110010 | Din(Decimal): 1646 | Average(Decimal): 1650
Time: 1135000 | Din(Binary): 0000011001101110 | Average(Binary): 0000011001110001 | Din(Decimal): 1646 | Average(Decimal): 1649
Time: 1145000 | Din(Binary): 0000011001101110 | Average(Binary): 0000011001110001 | Din(Decimal): 1646 | Average(Decimal): 1649
Time: 1155000 | Din(Binary): 0000011001110001 | Average(Binary): 0000011001110001 | Din(Decimal): 1649 | Average(Decimal): 1649
Time: 1165000 | Din(Binary): 0000011001110001 | Average(Binary): 0000011001110000 | Din(Decimal): 1649 | Average(Decimal): 1648
Time: 1175000 | Din(Binary): 0000011001110001 | Average(Binary): 0000011001110000 | Din(Decimal): 1649 | Average(Decimal): 1648
Time: 1185000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110000 | Din(Decimal): 1652 | Average(Decimal): 1648
Time: 1195000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001101111 | Din(Decimal): 1652 | Average(Decimal): 1647
